Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
07/03/18,2017,Kilmarnock,St Johnstone,2.04,3.39,3.5,2,0,H,2,0,6,4,0,0,36,21,0,2,0,3,0,1,36,21
27/02/18,2017,St Johnstone,Rangers,7.0,4.0,1.5,1,4,A,1,2,3,5,1,2,31,23,3,0,9,4,2,0,31,23
27/02/18,2017,Hearts,Kilmarnock,2.04,3.2,3.79,1,1,D,1,0,2,1,0,0,38,46,1,1,3,4,0,1,38,46
25/02/18,2017,Aberdeen,Celtic,5.0,3.75,1.66,0,2,A,2,0,6,1,2,0,62,15,2,1,4,2,1,0,62,15
24/02/18,2017,St Johnstone,Ross County,2.2,3.39,3.25,2,0,H,0,2,1,5,0,2,25,25,1,2,4,5,1,2,25,25
24/02/18,2017,Rangers,Hearts,1.5,4.09,6.5,2,0,H,2,1,5,2,2,0,46,15,1,1,5,4,1,1,46,15
24/02/18,2017,Kilmarnock,Hibernian,3.75,3.29,2.0,2,2,D,3,0,6,3,0,0,38,15,2,1,3,2,0,0,38,15
24/02/18,2017,Hamilton,Partick,2.89,3.2,2.45,2,1,H,0,3,4,10,0,2,15,23,1,1,4,3,1,0,15,23
24/02/18,2017,Dundee,Motherwell,2.39,3.25,2.89,0,1,A,0,3,1,7,0,2,31,15,0,2,2,5,0,1,31,15
18/02/18,2017,Hamilton,Rangers,7.5,4.5,1.39,3,5,A,1,2,4,7,0,1,17,25,2,0,4,1,1,0,17,25
18/02/18,2017,Celtic,St Johnstone,1.16,7.5,13.0,0,0,D,2,0,4,1,1,0,69,31,0,2,1,4,0,1,69,31
17/02/18,2017,Ross County,Hearts,3.1,3.25,2.29,1,1,D,0,2,4,7,0,1,15,23,1,1,4,3,1,1,15,23
17/02/18,2017,Partick,Dundee,2.35,3.25,3.0,1,2,A,1,2,3,4,1,1,38,15,2,1,6,4,1,0,38,15
17/02/18,2017,Motherwell,Kilmarnock,2.37,3.29,2.89,0,1,A,2,0,5,1,2,0,46,23,0,1,4,6,0,1,46,23
17/02/18,2017,Hibernian,Aberdeen,2.5,3.39,2.7,2,0,H,2,0,5,3,0,0,42,25,1,2,4,7,1,2,42,25
13/02/18,2017,Kilmarnock,Dundee,2.0,3.39,3.75,3,2,H,3,0,4,1,0,0,33,17,2,0,5,2,1,0,33,17
06/02/18,2017,Partick,Rangers,6.0,3.79,1.57,0,2,A,2,1,4,2,1,0,42,17,1,1,3,3,0,0,42,17
06/02/18,2017,Motherwell,St Johnstone,2.04,3.39,3.5,2,0,H,1,1,4,4,1,1,42,25,1,1,4,3,1,0,42,25
03/02/18,2017,Rangers,Hibernian,1.9,3.5,4.0,1,2,A,2,1,5,3,2,1,50,17,1,1,1,1,0,0,50,17
03/02/18,2017,Motherwell,Partick,2.04,3.29,3.6,1,1,D,1,1,4,4,1,1,45,18,1,2,3,4,1,1,45,18
03/02/18,2017,Kilmarnock,Celtic,11.0,5.75,1.25,1,0,H,3,0,8,2,1,0,27,18,2,1,4,5,1,1,27,18
03/02/18,2017,Hearts,St Johnstone,1.72,3.75,4.5,1,0,H,1,0,5,1,1,0,33,50,2,0,5,2,1,0,33,50
03/02/18,2017,Dundee,Ross County,2.14,3.39,3.29,1,4,A,1,2,3,3,1,1,33,17,0,3,1,6,0,2,33,17
03/02/18,2017,Aberdeen,Hamilton,1.33,4.75,9.5,3,0,H,2,0,4,1,1,0,58,17,1,2,4,5,1,1,58,17
31/01/18,2017,Ross County,Aberdeen,5.25,3.5,1.7,2,4,A,0,1,4,5,0,0,17,25,1,2,3,5,1,2,17,25
31/01/18,2017,Hibernian,Motherwell,1.61,3.75,5.5,2,1,H,1,1,4,4,0,0,36,27,0,2,1,4,0,1,36,27
30/01/18,2017,Celtic,Hearts,1.22,6.0,13.0,3,1,H,2,0,4,0,1,0,67,33,1,0,3,0,1,0,67,33
28/01/18,2017,Ross County,Rangers,6.0,4.33,1.5,1,2,A,0,1,3,5,0,1,18,27,1,1,3,3,0,0,18,27
27/01/18,2017,St Johnstone,Partick,2.2,3.29,3.29,1,3,A,0,2,0,5,0,2,27,27,0,3,0,6,0,2,27,27
27/01/18,2017,Hearts,Motherwell,2.0,3.29,3.79,1,1,D,2,0,6,0,2,0,36,45,0,3,2,6,0,1,36,45
27/01/18,2017,Hamilton,Dundee,2.39,3.39,2.79,1,2,A,1,2,3,6,0,1,18,27,1,1,3,3,1,1,18,27
27/01/18,2017,Celtic,Hibernian,1.28,5.75,9.0,1,0,H,2,0,5,0,2,0,64,36,1,1,2,4,0,1,64,36
27/01/18,2017,Aberdeen,Kilmarnock,1.61,4.0,5.0,3,1,H,2,0,5,1,1,0,55,18,1,0,5,4,0,0,55,18
24/01/18,2017,Rangers,Aberdeen,1.85,3.39,4.33,2,0,H,2,1,5,4,1,1,45,18,2,1,4,3,1,1,45,18
24/01/18,2017,Motherwell,Ross County,2.04,3.39,3.5,2,0,H,0,1,3,5,0,1,40,20,0,3,3,7,0,1,40,20
