Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
07/04/2023,2022,Boavista,Guimaraes,2.5,3.1,2.88,2.0,1.0,H,0,1,1,2,0,0,38,38,1,1,4,6,1,1,38,38
07/04/2023,2022,Benfica,Porto,1.95,3.5,3.8,1.0,2.0,A,3,0,10,2,3,0,92,8,2,0,5,2,1,0,92,8
07/04/2023,2022,Santa Clara,Vizela,3.75,3.3,2.05,0.0,1.0,A,0,3,2,8,0,3,15,31,2,0,5,1,1,0,15,31
05/04/2023,2022,Gil Vicente,Sp Lisbon,6.0,4.33,1.45,0.0,0.0,D,1,0,4,2,1,0,33,33,3,0,5,2,0,0,33,33
03/04/2023,2022,Famalicao,Arouca,1.85,3.3,3.75,0.0,1.0,A,2,1,2,1,0,0,58,8,1,1,2,2,1,1,58,8
02/04/2023,2022,Porto,Portimonense,1.13,7.0,21.0,1.0,0.0,H,2,1,5,4,0,0,83,0,0,3,0,4,0,1,83,0
02/04/2023,2022,Rio Ave,Benfica,8.5,4.75,1.33,0.0,1.0,A,3,0,5,1,1,0,58,8,3,0,8,0,3,0,58,8
02/04/2023,2022,Maritimo,Boavista,2.45,3.1,2.9,4.0,2.0,H,1,2,4,6,1,1,25,17,1,2,4,7,1,2,25,17
02/04/2023,2022,Chaves,Sp Braga,4.75,3.8,1.67,1.0,2.0,A,1,2,5,6,1,1,25,42,2,1,7,3,1,0,25,42
01/04/2023,2022,Sp Lisbon,Santa Clara,1.13,7.0,19.0,3.0,0.0,H,2,1,6,2,2,0,83,0,0,3,1,5,0,1,83,0
01/04/2023,2022,Guimaraes,Pacos Ferreira,1.95,3.3,3.8,0.0,0.0,D,2,1,3,3,0,1,62,15,1,1,5,4,1,0,62,15
01/04/2023,2022,Vizela,Casa Pia,2.2,3.0,3.4,3.0,1.0,H,0,2,0,6,0,2,33,17,0,2,0,3,0,1,33,17
31/03/2023,2022,Estoril,Gil Vicente,2.63,3.3,2.55,1.0,0.0,H,0,3,1,8,0,3,25,17,2,1,4,3,0,0,25,17
19/03/2023,2022,Boavista,Famalicao,2.38,3.2,3.0,1.0,2.0,A,1,0,4,2,1,0,42,42,1,2,4,7,1,2,42,42
19/03/2023,2022,Sp Braga,Porto,3.25,3.25,2.2,0.0,0.0,D,3,0,8,1,3,0,73,9,3,0,7,2,2,0,73,9
19/03/2023,2022,Casa Pia,Maritimo,2.05,3.1,4.0,2.0,0.0,H,2,0,4,2,0,0,42,25,0,3,2,6,0,1,42,25
18/03/2023,2022,Estoril,Chaves,2.1,3.2,3.5,0.0,2.0,A,1,2,3,7,0,2,27,18,0,2,1,3,0,0,27,18
18/03/2023,2022,Benfica,Guimaraes,1.18,7.0,15.0,5.0,1.0,H,3,0,8,1,3,0,92,8,2,0,4,1,1,0,92,8
18/03/2023,2022,Arouca,Pacos Ferreira,2.1,3.3,3.5,1.0,1.0,D,2,1,3,3,1,1,58,8,1,2,4,4,1,0,58,8
18/03/2023,2022,Portimonense,Vizela,2.88,3.2,2.55,0.0,1.0,A,2,1,3,2,0,0,42,17,1,1,4,3,1,1,42,17
17/03/2023,2022,Santa Clara,Rio Ave,2.6,3.0,3.0,0.0,2.0,A,0,2,4,8,0,2,17,33,0,3,1,6,0,2,17,33
13/03/2023,2022,Famalicao,Casa Pia,2.1,3.3,3.5,1.0,0.0,H,2,1,2,1,0,0,55,9,0,2,0,5,0,2,55,9
12/03/2023,2022,Sp Lisbon,Boavista,1.25,5.75,12.0,3.0,0.0,H,2,1,8,2,2,0,82,0,1,2,5,6,1,1,82,0
12/03/2023,2022,Maritimo,Benfica,9.0,6.5,1.25,0.0,3.0,A,1,2,4,5,1,1,27,18,3,0,7,0,3,0,27,18
12/03/2023,2022,Rio Ave,Gil Vicente,2.4,3.2,3.0,2.0,1.0,H,2,1,3,1,1,0,55,9,2,1,4,3,0,0,55,9
11/03/2023,2022,Vizela,Sp Braga,3.8,3.6,1.95,0.0,4.0,A,1,1,3,3,1,1,36,18,1,2,3,8,0,1,36,18
11/03/2023,2022,Guimaraes,Arouca,2.0,3.4,3.75,0.0,2.0,A,3,0,5,2,0,0,67,17,0,1,1,3,0,1,67,17
11/03/2023,2022,Pacos Ferreira,Santa Clara,2.38,3.25,3.0,1.0,0.0,H,1,2,3,6,0,2,8,17,0,3,2,6,0,1,8,17
11/03/2023,2022,Chaves,Portimonense,2.25,3.3,3.1,2.0,0.0,H,1,2,5,7,0,1,18,45,0,3,2,6,0,1,18,45
10/03/2023,2022,Porto,Estoril,1.18,6.5,13.0,3.0,2.0,H,2,1,4,2,1,0,82,0,0,3,0,5,0,2,82,0
06/03/2023,2022,Casa Pia,Pacos Ferreira,2.0,3.1,4.2,2.0,1.0,H,1,1,3,4,0,1,36,27,2,1,4,2,1,0,36,27
05/03/2023,2022,Sp Braga,Rio Ave,1.44,4.2,8.0,2.0,0.0,H,3,0,7,1,2,0,70,10,0,2,1,4,0,1,70,10
05/03/2023,2022,Santa Clara,Guimaraes,3.0,3.1,2.5,1.0,3.0,A,0,2,3,8,0,2,18,36,1,1,2,2,0,0,18,36
05/03/2023,2022,Gil Vicente,Maritimo,1.85,3.6,4.0,2.0,0.0,H,1,0,4,3,0,0,27,36,0,3,2,7,0,1,27,36
04/03/2023,2022,Chaves,Porto,11.0,5.0,1.29,1.0,3.0,A,1,1,5,5,0,0,20,50,3,0,5,1,1,0,20,50
04/03/2023,2022,Portimonense,Sp Lisbon,8.0,4.5,1.36,0.0,1.0,A,2,0,3,1,0,0,45,18,2,0,6,4,0,0,45,18
04/03/2023,2022,Estoril,Vizela,2.63,3.2,2.63,0.0,3.0,A,1,2,3,5,0,1,30,20,0,2,2,5,0,1,30,20
03/03/2023,2022,Benfica,Famalicao,1.17,8.5,13.0,2.0,0.0,H,2,0,8,3,2,0,91,9,1,2,5,9,1,2,91,9
03/03/2023,2022,Boavista,Arouca,2.25,3.25,3.25,0.0,0.0,D,1,0,5,3,1,0,45,36,0,1,2,4,0,1,45,36
