Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
03/05/2023,2022,Valencia,Villarreal,2.75,3.3,2.55,1,1,D,1,1,3,4,0,1,44,19,2,1,7,4,1,0,44,19
02/05/2023,2022,Sociedad,Real Madrid,2.55,3.4,2.8,2,0,H,3,0,6,1,2,0,53,27,1,2,5,6,1,1,53,27
02/05/2023,2022,Barcelona,Osasuna,1.14,7.5,19.0,1,0,H,2,0,5,0,1,0,81,19,1,1,2,2,0,0,81,19
02/05/2023,2022,Almeria,Elche,1.62,4.33,5.0,2,1,H,1,1,4,4,0,0,50,12,0,3,1,5,0,1,50,12
01/05/2023,2022,Sevilla,Girona,1.95,3.5,3.8,0,2,A,2,0,6,4,0,0,40,27,0,1,2,3,0,0,40,27
01/05/2023,2022,Mallorca,Ath Bilbao,3.6,3.0,2.25,1,1,D,1,0,4,2,1,0,47,27,3,0,7,3,1,0,47,27
30/04/2023,2022,Valladolid,Ath Madrid,5.5,3.8,1.65,2,5,A,1,1,5,6,0,1,47,20,2,1,3,2,0,0,47,20
30/04/2023,2022,Espanol,Getafe,2.38,3.0,3.3,1,0,H,0,2,2,5,0,1,20,33,0,2,1,5,0,2,20,33
30/04/2023,2022,Villarreal,Celta,1.8,3.6,4.5,3,1,H,2,1,7,4,2,0,60,13,1,1,5,5,1,1,60,13
30/04/2023,2022,Cadiz,Valencia,3.1,3.1,2.45,2,1,H,0,3,0,5,0,2,25,38,1,2,3,5,1,1,25,38
29/04/2023,2022,Barcelona,Betis,1.33,5.0,9.0,4,0,H,2,0,3,1,0,0,80,20,0,2,3,5,0,0,80,20
29/04/2023,2022,Real Madrid,Almeria,1.14,8.5,15.0,4,2,H,2,1,10,3,2,0,67,27,1,1,5,5,0,0,67,27
29/04/2023,2022,Elche,Vallecano,4.75,3.5,1.8,4,0,H,0,2,1,7,0,2,7,27,0,2,2,6,0,1,7,27
28/04/2023,2022,Osasuna,Sociedad,3.75,3.0,2.2,0,2,A,2,1,5,6,0,1,53,7,0,2,0,4,0,2,53,7
27/04/2023,2022,Ath Bilbao,Sevilla,1.75,3.6,4.5,0,1,A,1,1,2,1,1,0,47,20,2,1,4,2,2,1,47,20
27/04/2023,2022,Villarreal,Espanol,1.57,4.0,6.0,4,2,H,1,1,4,3,1,0,57,14,0,3,3,8,0,2,57,14
27/04/2023,2022,Valencia,Valladolid,1.75,3.75,4.75,2,1,H,1,1,2,3,0,1,40,20,1,1,3,8,0,1,40,20
26/04/2023,2022,Vallecano,Barcelona,4.75,3.75,1.73,2,1,H,1,1,5,5,0,0,40,33,2,0,5,0,1,0,40,33
26/04/2023,2022,Celta,Elche,1.3,5.25,10.0,1,0,H,1,1,5,3,1,0,33,33,0,3,1,6,0,2,33,33
26/04/2023,2022,Getafe,Almeria,1.91,3.3,4.5,1,2,A,2,0,5,2,1,0,33,33,0,2,4,6,0,0,33,33
26/04/2023,2022,Ath Madrid,Mallorca,1.4,4.33,8.5,3,1,H,3,0,6,1,1,0,60,20,1,1,4,4,0,0,60,20
25/04/2023,2022,Betis,Sociedad,2.75,3.25,2.63,0,0,D,2,1,4,3,1,1,53,20,0,2,1,5,0,2,53,20
25/04/2023,2022,Girona,Real Madrid,5.25,4.33,1.57,4,2,H,2,1,4,2,1,0,53,20,1,1,3,2,1,0,53,20
25/04/2023,2022,Cadiz,Osasuna,2.3,3.1,3.4,0,1,A,0,2,2,6,0,2,27,40,0,2,1,3,0,0,27,40
23/04/2023,2022,Sevilla,Villarreal,2.75,3.4,2.55,2,1,H,1,1,6,6,0,0,36,29,3,0,8,2,2,0,36,29
23/04/2023,2022,Mallorca,Getafe,2.3,2.88,3.75,3,1,H,0,1,1,2,0,0,43,29,0,1,2,4,0,1,43,29
23/04/2023,2022,Barcelona,Ath Madrid,1.95,3.3,4.2,1,0,H,2,0,3,1,0,0,79,21,2,0,4,2,0,0,79,21
23/04/2023,2022,Elche,Valencia,4.33,3.5,1.85,0,2,A,0,2,3,8,0,1,7,29,0,3,1,6,0,1,7,29
22/04/2023,2022,Real Madrid,Celta,1.36,5.0,9.0,2,0,H,2,1,11,4,2,0,64,29,1,0,5,3,1,0,64,29
22/04/2023,2022,Valladolid,Girona,2.5,3.4,2.8,1,0,H,1,1,6,7,0,1,43,21,0,1,4,5,0,0,43,21
22/04/2023,2022,Sociedad,Vallecano,1.67,3.5,6.0,2,1,H,2,0,4,0,2,0,50,29,0,2,1,5,0,1,50,29
22/04/2023,2022,Almeria,Ath Bilbao,3.8,3.75,1.85,1,2,A,1,1,3,4,0,1,53,13,2,0,5,2,1,0,53,13
22/04/2023,2022,Osasuna,Betis,2.55,3.2,2.88,3,2,H,1,1,2,4,0,1,50,7,1,1,4,4,0,0,50,7
21/04/2023,2022,Espanol,Cadiz,2.05,3.25,3.8,0,0,D,1,2,4,6,0,1,21,29,1,0,3,1,1,0,21,29
17/04/2023,2022,Celta,Mallorca,1.8,3.3,5.25,0,1,A,2,0,8,2,2,0,36,36,0,2,4,6,0,0,36,36
16/04/2023,2022,Valencia,Sevilla,2.2,3.2,3.6,0,2,A,2,0,3,1,0,0,43,21,1,2,3,8,1,2,43,21
16/04/2023,2022,Ath Madrid,Almeria,1.22,7.0,11.0,2,1,H,3,0,10,1,2,0,57,21,0,2,5,10,0,1,57,21
16/04/2023,2022,Getafe,Barcelona,6.0,3.8,1.6,0,0,D,3,0,6,2,1,0,36,29,2,1,5,1,1,0,36,29
16/04/2023,2022,Girona,Elche,1.53,4.33,6.0,2,0,H,2,1,8,4,1,0,50,21,1,2,2,4,0,1,50,21
15/04/2023,2022,Cadiz,Real Madrid,5.75,4.2,1.55,0,2,A,1,1,3,4,0,1,29,43,1,1,3,2,1,0,29,43
15/04/2023,2022,Betis,Espanol,1.83,3.5,4.5,3,1,H,1,1,1,2,0,1,50,21,0,3,3,7,0,1,50,21
15/04/2023,2022,Ath Bilbao,Sociedad,2.25,3.1,3.5,2,0,H,0,2,2,4,0,0,43,21,0,2,1,4,0,1,43,21
15/04/2023,2022,Villarreal,Valladolid,1.44,4.75,6.5,1,2,A,2,0,5,2,1,0,62,15,0,2,1,10,0,2,62,15
14/04/2023,2022,Vallecano,Osasuna,2.2,3.1,3.6,2,1,H,0,1,3,4,0,0,36,36,1,1,3,3,0,0,36,36
10/04/2023,2022,Barcelona,Girona,1.3,5.5,10.0,0,0,D,3,0,5,1,1,0,85,15,1,1,7,7,0,0,85,15
09/04/2023,2022,Vallecano,Ath Madrid,4.33,3.5,1.85,1,2,A,0,0,3,3,0,0,38,38,2,0,3,1,0,0,38,38
09/04/2023,2022,Almeria,Valencia,3.0,3.3,2.4,2,1,H,1,1,2,3,0,1,50,14,0,3,0,5,0,1,50,14
09/04/2023,2022,Betis,Cadiz,1.62,3.75,5.75,0,2,A,2,0,3,1,0,0,54,23,0,1,1,3,0,1,54,23
09/04/2023,2022,Valladolid,Mallorca,2.5,2.9,3.2,3,3,D,1,1,3,4,0,1,46,15,0,3,1,5,0,1,46,15
08/04/2023,2022,Real Madrid,Villarreal,1.53,4.33,5.75,2,3,A,2,0,10,2,2,0,69,31,2,1,7,4,2,1,69,31
08/04/2023,2022,Sociedad,Getafe,1.7,3.3,6.0,2,0,H,1,0,3,1,1,0,46,31,0,1,3,4,0,0,46,31
08/04/2023,2022,Espanol,Ath Bilbao,3.5,3.2,2.2,1,2,A,1,2,5,7,0,1,23,31,1,1,3,2,1,0,23,31
08/04/2023,2022,Osasuna,Elche,1.73,3.6,5.0,2,1,H,0,2,0,5,0,2,46,8,1,2,1,6,0,2,46,8
07/04/2023,2022,Sevilla,Celta,2.1,3.4,3.5,2,2,D,2,1,6,4,1,0,38,23,1,0,4,2,1,0,38,23
03/04/2023,2022,Valencia,Vallecano,2.05,3.2,3.8,1,1,D,2,1,3,2,0,0,46,15,0,2,1,5,0,1,46,15
02/04/2023,2022,Ath Madrid,Betis,1.53,4.0,6.5,1,0,H,3,0,10,1,2,0,54,23,2,0,7,5,0,0,54,23
02/04/2023,2022,Villarreal,Sociedad,2.4,3.1,3.2,2,0,H,1,1,3,3,0,0,58,17,1,1,4,4,0,0,58,17
02/04/2023,2022,Real Madrid,Valladolid,1.2,7.5,11.0,6,0,H,2,0,8,2,2,0,67,33,0,2,2,6,0,1,67,33
02/04/2023,2022,Celta,Almeria,1.55,4.0,6.0,2,2,D,2,1,6,1,2,0,38,31,0,3,3,10,0,2,38,31
01/04/2023,2022,Elche,Barcelona,9.5,5.0,1.33,0,4,A,0,2,3,5,0,0,8,31,2,1,2,1,0,0,8,31
01/04/2023,2022,Cadiz,Sevilla,3.4,3.1,2.3,0,2,A,2,0,5,2,1,0,31,46,0,2,2,9,0,2,31,46
01/04/2023,2022,Ath Bilbao,Getafe,1.57,3.8,6.5,0,0,D,1,2,6,5,1,0,46,15,0,1,4,5,0,0,46,15
01/04/2023,2022,Girona,Espanol,1.91,3.3,4.33,2,1,H,2,1,7,3,1,0,46,23,1,2,3,5,0,1,46,23
31/03/2023,2022,Mallorca,Osasuna,2.2,2.9,3.9,0,0,D,1,1,5,4,1,0,46,23,1,1,3,3,0,0,46,23
19/03/2023,2022,Barcelona,Real Madrid,2.15,3.5,3.25,2,1,H,3,0,6,0,2,0,83,17,1,1,2,1,1,0,83,17
19/03/2023,2022,Getafe,Sevilla,2.9,3.1,2.5,2,0,H,2,0,5,3,0,0,31,31,0,2,2,10,0,2,31,31
19/03/2023,2022,Sociedad,Elche,1.4,4.75,8.5,2,0,H,0,1,1,2,0,0,42,33,1,2,1,7,0,2,42,33
19/03/2023,2022,Osasuna,Villarreal,3.0,3.1,2.45,0,3,A,0,2,0,3,0,1,50,8,1,2,5,7,1,2,50,8
19/03/2023,2022,Betis,Mallorca,1.8,3.2,5.25,1,0,H,1,1,5,5,0,0,50,25,0,3,1,6,0,2,50,25
18/03/2023,2022,Ath Madrid,Valencia,1.55,4.2,5.75,3,0,H,2,0,8,2,1,0,50,25,0,3,0,3,0,0,50,25
18/03/2023,2022,Espanol,Celta,2.75,3.25,2.55,1,3,A,1,1,5,5,0,0,25,33,1,0,5,4,0,0,25,33
18/03/2023,2022,Vallecano,Girona,2.0,3.4,3.8,2,2,D,1,0,3,1,1,0,42,33,1,2,5,7,0,1,42,33
18/03/2023,2022,Almeria,Cadiz,2.0,3.5,3.6,1,1,D,1,2,3,5,0,1,54,8,0,2,1,6,0,2,54,8
17/03/2023,2022,Valladolid,Ath Bilbao,4.2,3.6,1.83,1,3,A,2,0,3,1,0,0,50,17,1,1,2,2,0,0,50,17
13/03/2023,2022,Girona,Ath Madrid,3.75,3.4,2.05,0,1,A,2,1,7,3,1,0,50,25,2,0,3,1,0,0,50,25
12/03/2023,2022,Ath Bilbao,Barcelona,3.5,3.3,2.15,0,1,A,1,2,6,6,1,1,50,17,2,1,3,2,0,0,50,17
12/03/2023,2022,Villarreal,Betis,1.95,3.6,3.8,1,1,D,1,2,2,3,0,0,64,9,3,0,7,4,0,0,64,9
12/03/2023,2022,Sevilla,Almeria,1.73,3.6,5.25,2,1,H,2,1,7,3,2,0,33,25,0,2,4,10,0,2,33,25
12/03/2023,2022,Mallorca,Sociedad,3.5,2.9,2.38,1,1,D,2,1,5,3,1,0,50,17,1,1,3,3,0,0,50,17
11/03/2023,2022,Valencia,Osasuna,2.1,3.2,3.8,1,0,H,1,1,4,4,0,0,42,17,1,0,4,3,0,0,42,17
11/03/2023,2022,Celta,Vallecano,2.1,3.2,4.0,3,0,H,2,1,4,1,1,0,33,33,1,1,2,2,0,0,33,33
11/03/2023,2022,Elche,Valladolid,2.7,3.3,2.7,1,1,D,1,2,5,5,1,0,8,25,1,2,2,5,0,1,8,25
11/03/2023,2022,Real Madrid,Espanol,1.25,6.5,9.5,3,1,H,2,0,7,1,2,0,64,36,1,2,3,5,0,1,64,36
