Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
09/04/2023,2022,FC Emmen,Nijmegen,2.9,3.3,2.45,0.0,0.0,D,1,1,4,4,1,1,21,57,2,1,6,2,2,0,21,57
09/04/2023,2022,Twente,Cambuur,1.29,5.5,12.0,4.0,0.0,H,2,0,8,4,1,0,77,23,0,3,4,11,0,2,77,23
08/04/2023,2022,Heerenveen,Volendam,1.55,4.5,5.5,2.0,1.0,H,0,3,4,10,0,2,31,15,0,2,1,5,0,1,31,15
08/04/2023,2022,PSV Eindhoven,Excelsior,1.08,13.0,19.0,4.0,0.0,H,3,0,14,3,3,0,85,8,0,3,0,10,0,3,85,8
08/04/2023,2022,AZ Alkmaar,Sparta Rotterdam,1.5,4.5,6.0,0.0,1.0,A,2,0,4,2,0,0,54,38,2,1,6,5,2,1,54,38
08/04/2023,2022,Vitesse,Go Ahead Eagles,2.0,3.3,4.0,2.0,0.0,H,0,2,2,4,0,0,15,38,1,1,5,7,0,1,15,38
07/04/2023,2022,Groningen,Utrecht,3.1,3.5,2.25,1.0,2.0,A,1,1,4,3,1,1,23,23,1,1,5,4,1,1,23,23
02/04/2023,2022,For Sittard,Groningen,2.1,3.4,3.3,3.0,1.0,H,0,2,2,7,0,2,23,23,0,3,0,8,0,1,23,23
02/04/2023,2022,Utrecht,Volendam,1.4,5.0,6.5,0.0,0.0,D,0,2,4,6,0,0,38,31,0,3,1,8,0,2,38,31
02/04/2023,2022,Sparta Rotterdam,Feyenoord,5.25,3.8,1.57,1.0,3.0,A,2,1,5,5,1,1,62,15,3,0,9,5,1,0,62,15
02/04/2023,2022,Go Ahead Eagles,Ajax,7.5,5.0,1.33,0.0,0.0,D,2,1,4,4,1,1,33,33,3,0,11,3,2,0,33,33
01/04/2023,2022,Waalwijk,Vitesse,2.5,3.3,2.8,1.0,0.0,H,1,2,4,5,1,1,46,23,0,2,3,7,0,2,46,23
01/04/2023,2022,Nijmegen,PSV Eindhoven,4.5,4.2,1.67,2.0,4.0,A,1,0,5,2,1,0,23,69,1,0,4,3,0,0,23,69
01/04/2023,2022,Cambuur,FC Emmen,2.4,3.25,3.0,1.0,2.0,A,1,2,5,8,1,1,15,0,0,2,2,6,0,2,15,0
01/04/2023,2022,Excelsior,Twente,5.5,4.33,1.53,0.0,0.0,D,1,2,5,8,1,2,46,8,1,2,4,5,1,2,46,8
01/04/2023,2022,AZ Alkmaar,Heerenveen,1.5,4.2,6.5,1.0,1.0,D,3,0,8,1,1,0,58,33,2,0,7,4,1,0,58,33
19/03/2023,2022,Twente,AZ Alkmaar,2.15,3.5,3.25,2.0,1.0,H,1,0,7,4,1,0,75,25,1,1,3,3,0,0,75,25
