Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
23/04/2023,2022,Juventus,Napoli,2.88,3.1,2.6,0.0,1.0,A,3,0,9,4,2,0,73,20,3,0,8,1,2,0,73,20
23/04/2023,2022,Milan,Lecce,1.5,4.2,7.0,2.0,0.0,H,1,0,3,1,1,0,64,21,0,3,0,4,0,1,64,21
23/04/2023,2022,Udinese,Cremonese,1.7,3.8,5.0,3.0,0.0,H,1,0,7,5,1,0,29,57,1,1,6,6,0,0,29,57
23/04/2023,2022,Monza,Fiorentina,3.7,3.4,2.05,3.0,2.0,H,1,1,3,4,0,1,33,27,3,0,6,0,2,0,33,27
23/04/2023,2022,Empoli,Inter,6.5,4.2,1.53,0.0,3.0,A,1,2,1,3,0,1,36,29,0,2,2,4,0,0,36,29
22/04/2023,2022,Sampdoria,Spezia,2.55,3.2,2.88,1.0,1.0,D,1,1,5,4,1,0,7,27,0,1,3,4,0,0,7,27
22/04/2023,2022,Lazio,Torino,1.83,3.4,4.75,0.0,1.0,A,3,0,4,1,0,0,60,20,1,1,5,5,1,1,60,20
22/04/2023,2022,Salernitana,Sassuolo,3.1,3.5,2.25,3.0,0.0,H,1,0,6,3,1,0,27,33,2,1,6,5,0,0,27,33
21/04/2023,2022,Verona,Bologna,2.75,3.0,2.8,2.0,1.0,H,1,1,3,5,0,1,33,13,1,1,4,3,1,0,33,13
17/04/2023,2022,Fiorentina,Atalanta,2.4,3.4,2.9,1.0,1.0,D,2,0,4,2,0,0,40,33,1,2,3,5,1,2,40,33
16/04/2023,2022,Roma,Udinese,1.85,3.4,4.5,3.0,0.0,H,2,1,7,4,1,0,64,7,1,1,1,3,0,1,64,7
16/04/2023,2022,Sassuolo,Juventus,3.8,3.5,2.0,1.0,0.0,H,2,0,5,3,0,0,43,21,1,2,2,3,0,0,43,21
16/04/2023,2022,Torino,Salernitana,1.73,3.5,5.25,1.0,1.0,D,1,2,1,5,0,1,36,29,0,0,2,2,0,0,36,29
16/04/2023,2022,Lecce,Sampdoria,1.95,3.2,4.33,1.0,1.0,D,0,3,1,5,0,1,14,43,0,3,2,8,0,2,14,43
15/04/2023,2022,Inter,Monza,1.44,4.5,7.5,0.0,1.0,A,1,2,2,2,1,0,73,0,0,1,3,6,0,1,73,0
15/04/2023,2022,Napoli,Verona,1.53,4.0,6.5,0.0,0.0,D,1,2,2,5,1,1,79,7,0,2,1,4,0,1,79,7
15/04/2023,2022,Bologna,Milan,3.1,3.1,2.45,1.0,1.0,D,2,0,4,0,1,0,47,33,1,2,6,5,1,1,47,33
14/04/2023,2022,Spezia,Lazio,5.25,3.6,1.7,0.0,3.0,A,1,0,3,2,0,0,20,53,2,0,3,0,1,0,20,53
14/04/2023,2022,Cremonese,Empoli,2.45,3.3,2.88,1.0,0.0,H,1,2,3,6,0,2,7,21,0,2,2,4,0,0,7,21
08/04/2023,2022,Lazio,Juventus,2.75,2.9,2.9,2.0,1.0,H,2,1,2,2,0,1,57,21,2,1,3,1,1,0,57,21
08/04/2023,2022,Verona,Sassuolo,2.63,3.3,2.7,2.0,1.0,H,1,1,2,4,0,1,29,14,2,0,7,5,0,0,29,14
08/04/2023,2022,Torino,Roma,3.4,3.0,2.38,0.0,1.0,A,1,1,3,6,0,1,38,31,0,2,2,4,0,0,38,31
08/04/2023,2022,Sampdoria,Cremonese,2.38,3.25,3.2,2.0,3.0,A,1,1,4,3,1,0,7,29,0,1,5,6,0,0,7,29
08/04/2023,2022,Atalanta,Bologna,1.65,3.8,5.5,0.0,2.0,A,1,1,3,3,0,0,46,23,1,1,4,4,0,0,46,23
08/04/2023,2022,Fiorentina,Spezia,1.4,4.5,8.5,1.0,1.0,D,2,0,4,2,0,0,43,29,0,1,4,5,0,0,43,29
08/04/2023,2022,Udinese,Monza,2.0,3.5,3.8,2.0,2.0,D,1,0,7,5,1,0,31,54,1,1,2,4,0,1,31,54
07/04/2023,2022,Milan,Empoli,1.36,4.75,9.0,0.0,0.0,D,2,0,4,1,1,0,69,15,0,2,3,5,0,0,69,15
07/04/2023,2022,Lecce,Napoli,5.75,3.6,1.65,1.0,2.0,A,0,2,1,4,0,1,15,46,3,0,8,0,3,0,15,46
07/04/2023,2022,Salernitana,Inter,7.5,4.5,1.45,1.0,1.0,D,1,1,5,4,1,1,29,29,0,2,1,3,0,0,29,29
03/04/2023,2022,Sassuolo,Torino,2.4,3.3,3.0,1.0,1.0,D,2,1,4,4,0,1,46,15,1,2,4,5,1,1,46,15
03/04/2023,2022,Empoli,Lecce,2.45,3.1,3.1,1.0,0.0,H,0,2,2,5,0,1,31,31,1,2,2,4,0,1,31,31
02/04/2023,2022,Napoli,Milan,1.73,3.6,5.0,0.0,4.0,A,2,1,5,1,2,0,85,8,1,2,3,5,0,1,85,8
02/04/2023,2022,Roma,Sampdoria,1.44,4.2,9.0,3.0,0.0,H,2,1,5,4,0,0,62,8,0,2,4,7,0,1,62,8
02/04/2023,2022,Spezia,Salernitana,2.3,3.3,3.2,1.0,1.0,D,1,1,2,3,0,1,21,50,0,1,1,2,0,0,21,50
02/04/2023,2022,Monza,Lazio,3.8,3.3,2.05,0.0,2.0,A,1,1,3,3,0,0,36,29,2,0,3,0,1,0,36,29
02/04/2023,2022,Bologna,Udinese,2.2,3.3,3.4,3.0,0.0,H,1,1,1,1,0,0,43,36,1,1,2,3,0,1,43,36
01/04/2023,2022,Juventus,Verona,1.4,4.2,9.0,1.0,0.0,H,3,0,9,4,2,0,71,21,0,2,1,4,0,1,71,21
01/04/2023,2022,Inter,Fiorentina,1.75,3.8,4.5,0.0,1.0,A,2,1,5,2,2,0,79,0,2,1,5,1,2,0,79,0
01/04/2023,2022,Cremonese,Atalanta,5.5,3.8,1.67,1.0,3.0,A,1,2,2,5,0,2,8,23,1,2,2,4,1,2,8,23
19/03/2023,2022,Inter,Juventus,1.91,3.4,4.0,0.0,1.0,A,3,0,6,1,2,0,85,0,2,1,5,1,2,0,85,0
19/03/2023,2022,Lazio,Roma,2.75,3.0,2.75,1.0,0.0,H,1,1,2,3,0,1,54,23,0,2,3,5,0,0,54,23
19/03/2023,2022,Torino,Napoli,4.33,3.6,1.75,0.0,4.0,A,2,0,4,2,0,0,42,33,3,0,7,0,3,0,42,33
19/03/2023,2022,Fiorentina,Lecce,1.6,3.75,5.75,1.0,0.0,H,1,1,4,4,0,0,38,31,2,1,4,3,1,1,38,31
19/03/2023,2022,Sampdoria,Verona,2.88,3.1,2.45,3.0,1.0,H,0,1,1,2,0,0,0,31,0,1,1,2,0,0,0,31
18/03/2023,2022,Udinese,Milan,3.5,3.4,2.15,3.0,1.0,H,0,0,5,5,0,0,25,58,1,2,2,3,0,0,25,58
18/03/2023,2022,Salernitana,Bologna,3.4,3.25,2.2,2.0,2.0,D,1,2,3,5,1,2,31,23,2,1,4,3,0,0,31,23
18/03/2023,2022,Monza,Cremonese,1.8,3.5,4.5,1.0,1.0,D,1,1,4,4,0,0,38,23,0,2,4,8,0,1,38,23
17/03/2023,2022,Atalanta,Empoli,1.4,4.5,7.5,2.0,1.0,H,1,1,3,2,1,0,42,25,0,2,2,5,0,1,42,25
17/03/2023,2022,Sassuolo,Spezia,1.7,3.75,4.5,1.0,0.0,H,2,1,4,4,0,1,42,17,0,1,4,6,0,1,42,17
13/03/2023,2022,Milan,Salernitana,1.25,6.0,11.0,1.0,1.0,D,2,1,5,5,1,1,75,8,1,1,2,2,0,0,75,8
12/03/2023,2022,Juventus,Sampdoria,1.33,4.75,10.0,4.0,2.0,H,2,1,5,4,1,1,69,23,0,2,2,5,0,1,69,23
12/03/2023,2022,Roma,Sassuolo,1.67,3.6,5.5,3.0,4.0,A,3,0,4,0,1,0,67,8,2,0,8,4,1,0,67,8
12/03/2023,2022,Verona,Monza,2.5,3.2,2.9,1.0,1.0,D,1,1,2,4,0,1,31,8,2,1,3,3,1,1,31,8
12/03/2023,2022,Cremonese,Fiorentina,4.33,3.6,1.85,0.0,2.0,A,1,2,3,5,0,1,8,25,1,1,4,2,1,0,8,25
12/03/2023,2022,Lecce,Torino,3.0,3.0,2.63,0.0,2.0,A,0,2,2,4,0,0,17,50,0,2,4,7,0,1,17,50
11/03/2023,2022,Bologna,Lazio,3.1,3.1,2.38,0.0,0.0,D,2,1,3,1,1,0,46,31,2,0,4,1,1,0,46,31
